Designation & Company Name,Domain,Company Size,Location,Status,Project_Name,Project_category,Project_cost,Project_Length,Project_Summary,Review
"Project Manager, Imaging Company",Other industry,11-50 Employees,"St Louis, Missouri",Verified,Managed IT Services for Imaging Company,Managed IT Services,"$50,000 to $199,999",July 2019 - Ongoing,"InData Labs provided development and managed IT services for an imaging company. After creating the foundation of the client's MVP, the team helped integrate their code with the existing system.","""They were responsive to our questions and were knowledgeable when we didn’t have a good idea of how best to proceed."""
"CEO, naexasCompass Group",Legal,1-10 Employees,"Tokyo, Japan",Verified,AI Search Engine for Branding Services Company,Custom Software Development,"$50,000 to $199,999",Dec. 2018 - Ongoing,InData Labs provides AI support to develop algorithms for a trademark search engine. They continue to provide improvements as needed.,"""It’s been very pleasant working with them. They do deliver results."""
"CEO & Founder, Anti-Counterfeit Platform",Other industry,1-10 Employees,"Copenhagen, Denmark",Verified,Development for Anti-Counterfeit Platform,Custom Software Development,"$50,000 to $199,999",Aug. - Oct. 2019,"InData Labs developed an application for an anti-counterfeiting technology platform. The included a mobile app, a pattern-matching algorithm, and a web app.","""Their competence in data science, machine learning is second to none."""
"Head of Business Development, Corporate Start-Up",Business services,1-10 Employees,Switzerland,Verified,Custom Software Development for a Corporate Start-Up,Custom Software Development,Confidential,Aug. 2018 - Ongoing,InData Labs developed custom software for a corporate startup. They provided a fully functioning app with a front- and backend and connections to databases.,"“Their drive was strong, and the whole team pushed their limits to meet deadlines and make everything work.”"
"CTO, Flo by OWHealth",Information technology,1-10 Employees,"Minsk, Belarus",Verified,Predictive Ovulation Tracker for Healthcare Startup,BI & Analytics,Confidential,May 2016 - Ongoing,InData Labs applied data science/engineering skills in designing an app’s processing architecture to manage real-time machine learning and analytics. They now assist with content personalization.,"""They have good data science expertise."""
"Project Manager, SMM Firm",Information technology,11-50 Employees,"Minsk, Belarus",Verified,API Development & Data Management for Social Analytics Tool,Development,Confidential,Apr. 2015 - Ongoing,"InData Labs’ data scientists and engineers created an API and track 50,000 social network profiles, leveraging their own infrastructure to deliver analytics.","""We work closely with each other to solve problems quickly."""
